lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.3611392080783844,3611.458251953125,0.3611392080783844,-0.5438393950462341,nan,nan,nan,0.0,0.012345679104328156,0.0005363496602512896,2.2525438907905482e-05,0.0005138242268003523,0.012345679104328156,0.627740740776062,0.3611392080783844,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7151005864143372,7151.0556640625,0.7151005864143372,-0.7842630743980408,nan,nan,nan,0.0,0.012345679104328156,0.0004055210156366229,2.1582589397439733e-05,0.00038393845898099244,0.012345679104328156
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.3470357358455658,3470.4560546875,0.3470357358455658,-0.3333524167537689,nan,nan,nan,0.0,0.02469135820865631,0.0003997966705355793,4.6136134187690914e-05,0.00035366055089980364,0.02469135820865631,0.4312472343444824,0.3470357358455658,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7410266399383545,7410.36962890625,0.7410266399383545,-0.9036397933959961,nan,nan,nan,0.0,0.02469135820865631,0.0004166594007983804,2.9638131309184246e-05,0.00038702128222212195,0.02469135820865631
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.33750423789024353,3375.2255859375,0.33750423789024353,-0.19109971821308136,nan,nan,nan,0.0,0.03703703731298447,0.0004959997022524476,7.253842341015115e-05,0.00042346128611825407,0.03703703731298447,0.36562713980674744,0.33750423789024353,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.45136234164237976,4513.806640625,0.45136234164237976,-0.8755788803100586,nan,nan,nan,0.0,0.03703703731298447,0.000492995313834399,6.792762724217027e-05,0.0004250676720403135,0.03703703731298447
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.3498012125492096,3498.2138671875,0.3498012125492096,-0.374625563621521,nan,nan,nan,0.0,0.04938271641731262,0.00040828774217516184,4.997926953365095e-05,0.00035830846172757447,0.04938271641731262,0.35454899072647095,0.3498012125492096,3.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.42518919706344604,4252.10205078125,0.42518919706344604,-0.8793729543685913,nan,nan,nan,0.0,0.04938271641731262,0.0004251695063430816,6.707790453219786e-05,0.00035809160908684134,0.04938271641731262
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.34521999955177307,3452.4892578125,0.34521999955177307,-0.3062537908554077,nan,nan,nan,0.0,0.061728399246931076,0.0004687387263402343,3.950816244469024e-05,0.0004292305966373533,0.061728399246931076,0.34801870584487915,0.34521999955177307,4.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.4152648150920868,4152.896484375,0.4152648150920868,-0.7714675664901733,nan,nan,nan,0.0,0.061728399246931076,0.00040186464320868254,4.985556734027341e-05,0.00035200908314436674,0.061728399246931076
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.3286009430885315,3286.359619140625,0.3286009430885315,-0.058223795145750046,nan,nan,nan,0.0,0.07407407462596893,0.00047257705591619015,3.0413901185966097e-05,0.0004421631747391075,0.07407407462596893,0.33442628383636475,0.3286009430885315,5.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.3780098557472229,3780.4541015625,0.3780098557472229,-0.30049097537994385,nan,nan,nan,0.0,0.07407407462596893,0.00047995554632507265,3.993980499217287e-05,0.00044001577771268785,0.07407407462596893
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.3281864523887634,3282.3330078125,0.3281864523887634,-0.05203753709793091,nan,nan,nan,0.0,0.08641975373029709,0.0005419714143499732,2.6586398234940134e-05,0.000515385007020086,0.08641975373029709,0.33005839586257935,0.3281864523887634,6.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.39568912982940674,3957.33251953125,0.39568912982940674,-0.5241351127624512,nan,nan,nan,0.0,0.08641975373029709,0.0005101824644953012,3.152105273329653e-05,0.0004786614153999835,0.08641975373029709
0.004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0.3318813443183899,3319.311767578125,0.3318813443183899,-0.10718206316232681,nan,nan,nan,0.0,0.09876543283462524,0.0005047472659498453,2.7424228392192163e-05,0.00047732298844493926,0.09876543283462524,0.3313344717025757,0.3318813443183899,7.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.3731609880924225,3732.12060546875,0.3731609880924225,-0.2397095412015915,nan,nan,nan,0.0,0.09876543283462524,0.0005167862982489169,2.970890636788681e-05,0.0004870773700531572,0.09876543283462524
0.004,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.37254634499549866,3725.918212890625,0.37254634499549866,-0.7140840888023376,nan,nan,nan,0.0,0.1111111119389534,0.0004091108276043087,3.1242594559444115e-05,0.0003778682730626315,0.1111111119389534,0.3601827919483185,0.37254634499549866,8.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.41328537464141846,4133.3125,0.41328537464141846,-0.6380574703216553,nan,nan,nan,0.0,0.1111111119389534,0.00041251222137361765,3.129206379526295e-05,0.00038122013211250305,0.1111111119389534
0.004,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.381818026304245,3818.6533203125,0.381818026304245,-0.852458655834198,nan,nan,nan,0.0,0.12345679849386215,0.00038318338920362294,2.9157885364838876e-05,0.0003540255129337311,0.12345679849386215,0.375327467918396,0.381818026304245,9.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.41227081418037415,4123.203125,0.41227081418037415,-0.7311714887619019,nan,nan,nan,0.0,0.12345679849386215,0.00040095369331538677,3.503227708279155e-05,0.00036592144169844687,0.12345679849386215
0.004,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,0.33557450771331787,3356.414794921875,0.33557450771331787,-0.1623000055551529,nan,nan,nan,0.0,0.1358024626970291,0.0004931287257932127,2.281527667946648e-05,0.00047031344729475677,0.1358024626970291,0.34750041365623474,0.33557450771331787,10.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.41012585163116455,4101.783203125,0.41012585163116455,-0.6969779133796692,nan,nan,nan,0.0,0.1358024626970291,0.00038596882950514555,2.9424218155327253e-05,0.00035654459497891366,0.1358024626970291
0.004,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,0.3565041720867157,3565.6611328125,0.3565041720867157,-0.4746633768081665,nan,nan,nan,0.0,0.14814814925193787,0.00041804779903031886,2.1602098058792762e-05,0.0003964457428082824,0.14814814925193787,0.35380303859710693,0.3565041720867157,11.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.37650519609451294,3765.69140625,0.37650519609451294,-0.27652275562286377,nan,nan,nan,0.0,0.14814814925193787,0.0004316923441365361,2.2611340682487935e-05,0.00040908099617809057,0.14814814925193787
0.004,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,0.3321567177772522,3322.262451171875,0.3321567177772522,-0.11129180341959,nan,nan,nan,0.0,0.16049382090568542,0.00043323947465978563,2.1487621779670008e-05,0.00041175182559527457,0.16049382090568542,0.3386506140232086,0.3321567177772522,12.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.4058381915092468,4059.1083984375,0.4058381915092468,-0.6353582143783569,nan,nan,nan,0.0,0.16049382090568542,0.00045279288315214217,2.1862169887754135e-05,0.00043093072599731386,0.16049382090568542
0.004,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
