lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.06285303086042404,628.6395874023438,0.06285303086042404,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.0008853627950884402,2.1523190298466943e-05,0.000863839581143111,0.012345679104328156,0.4146670699119568,0.06285303086042404,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.584644079208374,5846.5,0.584644079208374,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.00048249479732476175,2.142284211004153e-05,0.0004610719333868474,0.012345679104328156
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.07432658225297928,743.5394897460938,0.07432658225297928,-1.0,nan,nan,nan,0.0,0.02469135820865631,0.0011084132129326463,3.3723030355758965e-05,0.0010746901389211416,0.02469135820865631,0.17642873525619507,0.07432658225297928,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.07155133783817291,715.7224731445312,0.07155133783817291,-0.9505976438522339,nan,nan,nan,0.0,0.02469135820865631,0.0008470497559756041,2.5212822947651148e-05,0.0008218369912356138,0.02469135820865631
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.07592904567718506,759.66015625,0.07592904567718506,-1.0,nan,nan,nan,0.0,0.03703703731298447,0.0009982406627386808,5.133677404955961e-05,0.0009469038923271,0.03703703731298447,0.10607895255088806,0.07592904567718506,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0887402817606926,887.8434448242188,0.0887402817606926,-1.0,nan,nan,nan,0.0,0.03703703731298447,0.001189715345390141,4.6042914618737996e-05,0.0011436723871156573,0.03703703731298447
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.05194322392344475,519.7651977539062,0.05194322392344475,-0.6430050730705261,nan,nan,nan,0.0,0.04938271641731262,0.0006742738769389689,5.7214521802961826e-05,0.0006170593551360071,0.04938271641731262,0.06818394362926483,0.05194322392344475,3.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.08475908637046814,847.9921264648438,0.08475908637046814,-1.0,nan,nan,nan,0.0,0.04938271641731262,0.0008125600288622081,6.008990385453217e-05,0.0007524701068177819,0.04938271641731262
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.06282183527946472,628.6608276367188,0.06282183527946472,-1.0,nan,nan,nan,0.0,0.061728399246931076,0.0007168258889578283,5.881859760847874e-05,0.0006580072804354131,0.061728399246931076,0.06443046778440475,0.06282183527946472,4.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0643187165260315,643.6051025390625,0.0643187165260315,-1.0,nan,nan,nan,0.0,0.061728399246931076,0.0006770380423404276,6.285087147261947e-05,0.0006141872145235538,0.061728399246931076
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.05591787397861481,559.7288818359375,0.05591787397861481,-1.0,nan,nan,nan,0.0,0.07407407462596893,0.0007426887168549001,6.206644320627674e-05,0.0006806223536841571,0.07407407462596893,0.05847165361046791,0.05591787397861481,5.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.06051778793334961,605.767333984375,0.06051778793334961,-0.8118314743041992,nan,nan,nan,0.0,0.07407407462596893,0.0007957445923238993,6.719332304783165e-05,0.0007285512983798981,0.07407407462596893
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.048259612172842026,483.4568176269531,0.048259612172842026,-0.005286058876663446,nan,nan,nan,0.0,0.08641975373029709,0.0009959283052012324,6.0530099290190265e-05,0.0009353982168249786,0.08641975373029709,0.05132322758436203,0.048259612172842026,6.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.07256952673196793,726.3221435546875,0.07256952673196793,-1.0,nan,nan,nan,0.0,0.08641975373029709,0.0007254124502651393,6.640381616307423e-05,0.0006590086268261075,0.08641975373029709
0.004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0.06221004202961922,623.8779907226562,0.06221004202961922,-1.0,nan,nan,nan,0.0,0.09876543283462524,0.0017998190596699715,4.795280983671546e-05,0.001751866191625595,0.09876543283462524,0.05894399806857109,0.06221004202961922,7.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.05836557596921921,584.8198852539062,0.05836557596921921,-0.8980795741081238,nan,nan,nan,0.0,0.09876543283462524,0.0011787344701588154,6.122144986875355e-05,0.0011175130493938923,0.09876543283462524
0.004,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.04842625558376312,488.3949890136719,0.04842625558376312,-0.03413603454828262,nan,nan,nan,0.0,0.1111111119389534,0.0037191722076386213,3.760777326533571e-05,0.0036815644707530737,0.1111111119389534,0.05158158019185066,0.04842625558376312,8.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05841629207134247,586.323486328125,0.05841629207134247,-0.7972425818443298,nan,nan,nan,0.0,0.1111111119389534,0.0019444868667051196,4.831913975067437e-05,0.0018961677560582757,0.1111111119389534
0.004,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.058623895049095154,590.2470092773438,0.058623895049095154,-1.0,nan,nan,nan,0.0,0.12345679849386215,0.003246509237214923,3.3178665034938604e-05,0.003213330404832959,0.12345679849386215,0.056511200964450836,0.058623895049095154,9.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.06603600829839706,663.8482055664062,0.06603600829839706,-1.0,nan,nan,nan,0.0,0.12345679849386215,0.0028253644704818726,4.278483538655564e-05,0.002782579744234681,0.12345679849386215
0.004,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,0.05414937064051628,543.7120971679688,0.05414937064051628,-1.0,nan,nan,nan,0.0,0.1358024626970291,0.0016335606342181563,4.057386104250327e-05,0.0015929866349324584,0.1358024626970291,0.05485792085528374,0.05414937064051628,10.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.06280088424682617,631.1759643554688,0.06280088424682617,-1.0,nan,nan,nan,0.0,0.1358024626970291,0.002332158386707306,3.92848887713626e-05,0.0022928735706955194,0.1358024626970291
0.004,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,0.047789037227630615,479.8726501464844,0.047789037227630615,0.07618143409490585,nan,nan,nan,0.0,0.14814814925193787,0.0013380218297243118,5.005228376830928e-05,0.0012879695277661085,0.14814814925193787,0.04990970343351364,0.047789037227630615,11.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.05922521650791168,594.8150024414062,0.05922521650791168,-0.8677542805671692,nan,nan,nan,0.0,0.14814814925193787,0.0017299138708040118,4.866556992055848e-05,0.001681248308159411,0.14814814925193787
0.004,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,0.04676888510584831,469.5394592285156,0.04676888510584831,0.2527942955493927,nan,nan,nan,0.0,0.16049382090568542,0.0011531033087521791,5.629674342344515e-05,0.0010968066053465009,0.16049382090568542,0.04771113023161888,0.04676888510584831,12.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.06074276193976402,609.4461669921875,0.06074276193976402,-0.8154290318489075,nan,nan,nan,0.0,0.16049382090568542,0.0012577073648571968,5.762583532487042e-05,0.0012000815477222204,0.16049382090568542
0.004,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
